"Title","ID","Created date","Updated date","Owner","Interest","User ID","Member","Distributed Content","Type"
,"0369e59b-e789-46c1-b47b-049a688dc9e7",2021-12-02T20:19:18Z,2021-12-02T20:19:18Z,"60728543-0d3f-4e47-8a6d-fbe84d0229bd","Class Assignment","60728543-0d3f-4e47-8a6d-fbe84d0229bd","27c57c31-782e-4e9a-8b1f-b9786f7b1b47","27a24058-5abb-44fa-9aee-c94a109c9185","Student Material"
,"03b6a89d-5669-48bb-853c-cbea2a2f0d64",2021-12-14T00:50:56Z,2021-12-14T00:50:56Z,"0cb1122c-941e-4e99-b3f9-593ea7e57c99","Personal Use","0cb1122c-941e-4e99-b3f9-593ea7e57c99","54b92dfa-6e39-4b13-a0f6-0f29dfffcb0c","36d8a32b-7fab-4e97-a3bd-665a48c5c254","Student Material"
,"03e15e2a-9e2b-4887-af86-5ba3444168d2",2021-09-05T14:54:57Z,2021-09-05T14:54:57Z,"d639317a-f0c2-4fef-a9ce-825bbcfee0cf","Testing","d639317a-f0c2-4fef-a9ce-825bbcfee0cf","3e07f626-9ff5-4be5-8c9e-fee8de3e237b","0133e91b-1cc4-48c7-88de-a2823e3c4c6b","Instructor Material"
,"044395cf-03e6-4be0-ade6-f787937e65a3",2022-01-10T13:46:29Z,2022-01-10T13:46:29Z,"547c8759-3ba0-48de-b214-e81e67a3c36f","Class Assignment","547c8759-3ba0-48de-b214-e81e67a3c36f","29dc7546-3e46-45d8-9b49-7e248061bde5","986d1a26-4e70-41b8-89a5-35052f87f64b","Instructor Material"
,"047b2abc-8454-49a5-8fab-a06ecbfd6a4e",2022-02-01T06:56:27Z,2022-02-01T06:56:27Z,"59c9fea7-c8a1-436b-9e2e-fe61c199a048","Testing","59c9fea7-c8a1-436b-9e2e-fe61c199a048","d3a1509c-bf46-44b7-96ae-b8de3b27efcf","2119eba5-f949-4e72-887c-0e9af2de5cca","Student Material"
,"04a22b2d-224e-462a-b7c0-e27601fe2154",2022-01-05T01:50:16Z,2022-01-05T01:50:16Z,"2deb4b18-afec-4552-8f79-73ea561a4c46","Class Assignment","2deb4b18-afec-4552-8f79-73ea561a4c46","583e03b5-7f18-4ab1-88ae-d3d1c7ab837b","95e5a1ae-5b9f-4d10-b1de-47fe89920fc1","Student Material"
,"04a370c6-474e-4e66-8a61-79575ef46872",2022-01-10T21:35:43Z,2022-01-10T21:35:43Z,"fc2741e7-6403-4cc5-af61-58161ddfa544","Class Assignment","fc2741e7-6403-4cc5-af61-58161ddfa544","42435906-a2ef-417c-8cba-adf84f045eb6","36d8a32b-7fab-4e97-a3bd-665a48c5c254","Student Material"
,"04b8fc58-9f62-4c30-bfaf-2db0222e60c4",2022-01-13T19:16:34Z,2022-01-13T19:16:34Z,"932c12d9-f4ae-4c39-8c70-04bfaae61216","Class Assignment","932c12d9-f4ae-4c39-8c70-04bfaae61216","653854a8-1473-4e57-a606-e9d2931fe150","986d1a26-4e70-41b8-89a5-35052f87f64b","Instructor Material"
,"05140cd5-d783-4a88-8955-cd6a3621791d",2022-01-11T03:21:44Z,2022-01-11T03:21:44Z,"68271665-6a87-4616-b959-b08712889631","Class Assignment","68271665-6a87-4616-b959-b08712889631","4b5a300c-305f-4999-8df7-ccd424edb644","57ee8a4f-8ea6-4144-a94a-950ef1ea0d01","Instructor Material"
,"057a36cf-b792-4c08-9b91-383ce3b96a17",2022-01-10T14:59:03Z,2022-01-10T14:59:03Z,"3463740a-6cfa-4da1-b3da-c6ce3d9f59b8","Class Assignment","3463740a-6cfa-4da1-b3da-c6ce3d9f59b8","0aad34f7-f01e-4486-8612-6fbc0923e9c6","27a24058-5abb-44fa-9aee-c94a109c9185","Student Material"
,"05e73a21-5bcf-42f1-98b5-b4361712c9bf",2021-08-25T18:47:53Z,2021-08-25T18:47:53Z,"d639317a-f0c2-4fef-a9ce-825bbcfee0cf","My interest 3","d639317a-f0c2-4fef-a9ce-825bbcfee0cf","3e07f626-9ff5-4be5-8c9e-fee8de3e237b","34f9f158-5f2b-48ad-a573-7d72707f0ebd","Student Content"
,"063b48f2-3a23-40a0-b535-9a1f8100f4d4",2022-01-10T13:44:43Z,2022-01-10T13:44:43Z,"547c8759-3ba0-48de-b214-e81e67a3c36f","Testing","547c8759-3ba0-48de-b214-e81e67a3c36f","29dc7546-3e46-45d8-9b49-7e248061bde5","57ee8a4f-8ea6-4144-a94a-950ef1ea0d01","Instructor Material"
,"06403272-590b-423e-87c8-800198055698",2021-10-11T20:06:41Z,2021-10-11T20:06:41Z,"5640e555-76ef-4821-8074-f5a938edfbb9","Class Assignment","5640e555-76ef-4821-8074-f5a938edfbb9","c58e32b2-7283-4a57-a601-cdbff62e38bf","d85061c4-5551-4f2b-8343-4418677dbbf6","Instructor Material"
